jcm,organism,meo,label_meo
JCM_10514,Clostridium sp.,MEO_0000468,gut
JCM_10515,Clostridium sp.,MEO_0000468,gut
JCM_10516,Clostridium sp.,MEO_0000468,gut
JCM_10517,Clostridium sp.,MEO_0000468,gut
JCM_10518,Clostridium sp.,MEO_0000468,gut
JCM_10519,Clostridium sp.,MEO_0000468,gut
JCM_10562,Burkholderia vietnamiensis,MEO_0000658,rhizosphere soil
JCM_10563,Burkholderia glathei,MEO_0000007,soil
JCM_10563,Paraburkholderia glathei,MEO_0000007,soil
JCM_10563,Pseudomonas glathei,MEO_0000007,soil
JCM_10564,Burkholderia phenazinium,MEO_0000007,soil
JCM_10564,Pseudomonas phenazinium,MEO_0000007,soil
JCM_10565,Burkholderia norimbergensis,MEO_0000749,water column
JCM_10566,Candida mesenterica,MEO_0000214,beer
JCM_10567,Candida mesenterica,MEO_0000015,brewery
JCM_10567,Candida mesenterica,MEO_0000214,beer
JCM_10569,Asaia bogorensis,MEO_0000376,flower
JCM_1059,Lactobacillus brevis,MEO_0000054,feces
JCM_1059,Lactobacillus brevis,MEO_0000627,feces
JCM_10612,Saccharomyces paradoxus,MEO_0000758,exudate
JCM_10613,Saccharomyces paradoxus,MEO_0000758,exudate
JCM_10614,Saccharomyces paradoxus,MEO_0000758,exudate
JCM_10615,Saccharomyces paradoxus,MEO_0000758,exudate
JCM_10616,Saccharomyces paradoxus,MEO_0000758,exudate
JCM_10618,Lactobacillus paralimentarius,MEO_0000301,sourdough
JCM_10619,Lactobacillus paralimentarius,MEO_0000301,sourdough
JCM_1062,Lactobacillus helveticus,MEO_0000020,dairy product
JCM_10669,Nocardia thermoflava,MEO_0000007,soil
JCM_10670,Asiosporangium albidum,MEO_0000007,soil
JCM_10671,Sporichthya brevicatena,MEO_0000007,soil
JCM_10672,Streptomyces malaysiensis,MEO_0000007,soil
JCM_10673,Streptomyces thermoalcalitolerans,MEO_0000651,garden soil
JCM_10721,Nocardiopsis kunsanensis,MEO_0000711,salt field
JCM_10722,Methanococcus maripaludis,MEO_0000671,saline marsh
JCM_10723,Methanothermus sociabilis,MEO_0000703,solfatara
JCM_10724,Thermus aquaticus,MEO_0000097,national park
JCM_10770,Eggerthella lenta,MEO_0000054,feces
JCM_10770,Eggerthella lenta,MEO_0000627,feces
JCM_10771,Eggerthella lenta,MEO_0000054,feces
JCM_10771,Eggerthella lenta,MEO_0000627,feces
JCM_10772,Collinsella aerofaciens,MEO_0000054,feces
JCM_10772,Collinsella aerofaciens,MEO_0000627,feces
JCM_10773,Collinsella aerofaciens,MEO_0000054,feces
JCM_10773,Collinsella aerofaciens,MEO_0000627,feces
JCM_10774,Collinsella aerofaciens,MEO_0000054,feces
JCM_10774,Collinsella aerofaciens,MEO_0000627,feces
JCM_10775,Collinsella aerofaciens,MEO_0000054,feces
JCM_10775,Collinsella aerofaciens,MEO_0000627,feces
JCM_10777,Collinsella aerofaciens,MEO_0000054,feces
JCM_10777,Collinsella aerofaciens,MEO_0000627,feces
JCM_10778,Collinsella aerofaciens,MEO_0000054,feces
JCM_10778,Collinsella aerofaciens,MEO_0000627,feces
JCM_10779,Collinsella aerofaciens,MEO_0000054,feces
JCM_10779,Collinsella aerofaciens,MEO_0000627,feces
JCM_10823,Cladosporium colocasiae,MEO_0000379,leaf
JCM_10824,Heterosporium echinulatum,MEO_0000379,leaf
JCM_10825,Methanoculleus chikugoensis,MEO_0000336,paddy field
JCM_10826,Eubacterium aerofaciens,MEO_0000054,feces
JCM_10826,Eubacterium aerofaciens,MEO_0000627,feces
JCM_10827,Bacteroides forsythus,MEO_0000478,periodontium
JCM_10827,Tannerella forsythensis,MEO_0000478,periodontium
JCM_10828,Thermococcus aegaeicus,MEO_0000084,bay
JCM_10871,Amycolatopsis rubida,MEO_0000126,forest soil
JCM_10872,Jeotgalibacillus alimentarius,MEO_0000271,jeotgal
JCM_10873,Halomonas marisflavae,MEO_0000041,marine water
JCM_10873,Halomonas marisflavi,MEO_0000041,marine water
JCM_10874,Sphingomonas cloacae,MEO_0000118,wastewater treatment plant
JCM_10877,Nocardiopsis tropica,MEO_0000658,rhizosphere soil
JCM_10878,Micromonospora aurantiaca,MEO_0000007,soil
JCM_10879,Natronobacterium nitratireducens,MEO_0000726,soda lake
JCM_10920,Haloarcula sp.,MEO_0000024,lake
JCM_10921,Haloarcula sp.,MEO_0000024,lake
JCM_10922,Haloarcula sp.,MEO_0000024,lake
JCM_10923,Haloarcula sp.,MEO_0000024,lake
JCM_10924,Haloarcula sp.,MEO_0000027,pond
JCM_10925,Haloarcula sp.,MEO_0000027,pond
JCM_10929,Haloterrigena sp.,MEO_0000024,lake
JCM_10970,Ferroplasma acidiphilum,MEO_0000067,man-made structure
JCM_10971,Pelotomaculum thermopropionicum,MEO_0000705,granular sludge
JCM_10974,Hydrogenothermus marinus,MEO_0000698,hydrothermal field
JCM_10975,Lentzea violacea,MEO_0000655,mine soil
JCM_10975,Saccharothrix violacea,MEO_0000655,mine soil
JCM_10976,Catellatospora koreensis,MEO_0000655,mine soil
JCM_10977,Hongia koreensis,MEO_0000655,mine soil
JCM_10978,Thermoactinomyces monosporus,MEO_0000007,soil
JCM_10979,Spirillospora albida,MEO_0000198,field soil
JCM_11021,Eubacterium saburreum,MEO_0000467,oral cavity
JCM_11022,Eubacterium exiguum,MEO_0000467,oral cavity
JCM_11023,Fusobacterium nucleatum subsp. vincentii,MEO_0000467,oral cavity
JCM_11024,Fusobacterium nucleatum subsp. fusiforme,MEO_0000467,oral cavity
JCM_11024,Fusobacterium nucleatum subsp. vincentii,MEO_0000467,oral cavity
JCM_11026,Haemophilus vaginalis,MEO_0000535,genital system
JCM_11027,Lactobacillus lindneri,MEO_0000214,beer
JCM_11028,Lactobacillus oris,MEO_0000060,saliva
JCM_11029,Lactobacillus pontis,MEO_0000301,sourdough
JCM_11071,Trimorphomyces papilionaceus,MEO_0000753,culm
JCM_11072,Trimorphomyces papilionaceus,MEO_0000753,culm
JCM_11073,Arthrinium sp.,MEO_0000753,culm
JCM_11075,Bacillus sphaericus,MEO_0000007,soil
JCM_11075,Bacillus pycnus,MEO_0000007,soil
JCM_1109,Lactobacillus casei subsp. casei,MEO_0000484,intestine
JCM_1109,Lactobacillus paracasei subsp. paracasei,MEO_0000484,intestine
JCM_1112,Lactobacillus reuteri,MEO_0000484,intestine
JCM_1112,Limosilactobacillus reuteri,MEO_0000484,intestine
JCM_11122,Lactobacillus frumenti,MEO_0000301,sourdough
JCM_11124,Bacillus vietnamensis,MEO_0000255,fish sauce
JCM_11125,Lactobacillus plantarum,MEO_0000018,food product
JCM_11125,Lactobacillus arizonensis,MEO_0000018,food product
JCM_11126,Rhinocladiella obovoidea,MEO_0000379,leaf
JCM_1113,Lactobacillus brevis,MEO_0000214,beer
JCM_1113,Lactobacillus paracollinoides,MEO_0000214,beer
JCM_1113,Lactobacillus pastorianus,MEO_0000214,beer
JCM_11179,Marinobacter lutaoensis,MEO_0000741,spring water
JCM_11231,Wallemia sebi,MEO_0000007,soil
JCM_11231,Wallemia ichthyophaga,MEO_0000007,soil
JCM_11232,Dorea longicatena,MEO_0000054,feces
JCM_11232,Dorea longicatena,MEO_0000627,feces
JCM_11233,Marinitoga piezophila,MEO_0000142,marine hydrothermal vent chimney
JCM_11280,Microtetraspora malaysiensis,MEO_0000126,forest soil
JCM_11281,Methanosarcina baltica,MEO_0000040,marine sediment
JCM_11282,Alcaligenes eutrophus,MEO_0000007,soil
JCM_11282,Ralstonia eutropha,MEO_0000007,soil
JCM_11282,Wautersia eutropha,MEO_0000007,soil
JCM_11283,Ralstonia gilardii,MEO_0000642,pool
JCM_11283,Wautersia gilardii,MEO_0000642,pool
JCM_11284,Ralstonia mannitolytica,MEO_0000059,blood
JCM_11285,Ralstonia oxalatica,MEO_0000481,gastrointestinal tract
JCM_11285,Wautersia oxalatica,MEO_0000481,gastrointestinal tract
JCM_11286,Ralstonia paucula,MEO_0000495,respiratory tract
JCM_11286,Wautersia paucula,MEO_0000495,respiratory tract
JCM_11332,Tremella globospora,MEO_0000062,wood
JCM_11333,Tremella mesenterica,MEO_0000759,branch
JCM_11381,Fusarium solani,MEO_0000386,plant root
JCM_11382,Fusarium oxysporum,MEO_0000386,plant root
JCM_11385,Coemansia mojavensis,MEO_0000651,garden soil
JCM_11386,Thermocrinis albus,MEO_0000416,hot water
JCM_11387,Caldilinea aerophila,MEO_0000029,hot spring
JCM_11389,Wallemia sebi,MEO_0000426,non-fermented food product
JCM_11430,Sanguibacter suarezii,MEO_0000059,blood
JCM_11431,Agromyces luteolus,MEO_0000754,mangrove
JCM_11432,Agromyces rhizospherae,MEO_0000658,rhizosphere soil
JCM_11433,Agromyces bracchium,MEO_0000658,rhizosphere soil
JCM_11434,Novosphingobium tardaugens,MEO_0000014,activated sludge
JCM_11435,Moritella profunda,MEO_0000694,coast
JCM_11436,Moritella abyssi,MEO_0000694,coast
JCM_11437,Psychromonas profunda,MEO_0000694,coast
JCM_11438,Nocardia africana,MEO_0000403,sputum
JCM_11439,Nocardia cummidelens,MEO_0000423,small artifact
JCM_11480,Demetria terragena,MEO_0000342,compost
JCM_11481,Listeria denitrificans,MEO_0000059,blood
JCM_11482,Micrococcus sedentarius,MEO_0000041,marine water
JCM_11483,Micrococcus halobius,MEO_0000722,salt
JCM_11484,Renibacterium salmoninarum,MEO_0000517,kidney
JCM_11486,Vibrio ruber,MEO_0000041,marine water
JCM_11487,Tsukamurella strandjordae,MEO_0000059,blood
JCM_11488,Fusarium solani,MEO_0000547,face
JCM_11489,Bullera pseudovariabilis,MEO_0000379,leaf
JCM_11533,Epicoccum nigrum,MEO_0000384,plant debris
JCM_11536,Knoellia sinensis,MEO_0000007,soil
JCM_11537,Knoellia subterranea,MEO_0000007,soil
JCM_11538,Ornithinicoccus hortensis,MEO_0000651,garden soil
JCM_11539,Ornithinicoccus hortensis,MEO_0000651,garden soil
JCM_1160,Lactobacillus confusus,MEO_0000379,leaf
JCM_1160,Weissella confusa,MEO_0000379,leaf
JCM_1161,Lactobacillus casei subsp. pseudoplantarum,MEO_0000019,milk for drinking and eating
JCM_1161,Lactobacillus paracasei subsp. paracasei,MEO_0000019,milk for drinking and eating
JCM_1162,Lactobacillus parabuchneri,MEO_0000214,beer
JCM_1163,Lactobacillus casei subsp. alactosus,MEO_0000214,beer
JCM_1163,Lactobacillus paracasei subsp. paracasei,MEO_0000214,beer
JCM_11638,Rhodotorula ingeniosa,MEO_0000658,rhizosphere soil
JCM_11638,Torulopsis ingeniosa,MEO_0000658,rhizosphere soil
JCM_11639,Rhodosporidium lusitaniae,MEO_0000379,leaf
JCM_1164,Lactobacillus coryniformis subsp. coryniformis,MEO_0000314,silage
JCM_11640,Rhodosporidium lusitaniae,MEO_0000379,leaf
JCM_11641,Sporobolomyces odoratus,MEO_0000374,basidiocarp
JCM_1166,Lactobacillus coryniformis subsp. torquens,MEO_0000088,farm
JCM_1167,Lactobacillus malefermentans,MEO_0000214,beer
JCM_1168,Lactobacillus minor,MEO_0000756,slime
JCM_11690,Trichosporon terricola,MEO_0000007,soil
JCM_11691,Bacillus krulwichiae,MEO_0000007,soil
JCM_11691,Alkalihalobacillus krulwichiae,MEO_0000007,soil
JCM_11692,Halomonas glaciei,MEO_0000414,ice
JCM_11693,Cryptococcus saitoi,MEO_0000403,sputum
JCM_11694,Cryptococcus saitoi,MEO_0000216,blue cheese
JCM_11696,Cryptococcus wieringae,MEO_0000259,fruit
JCM_11697,Rhodotorula laryngis,MEO_0000793,larynx
JCM_11698,Cladosporium colocasiae,MEO_0000379,leaf
JCM_11740,Cryptococcus cylindricus,MEO_0000259,fruit
JCM_11741,Cryptococcus oeirensis,MEO_0000379,leaf
JCM_11742,Cryptococcus oeirensis,MEO_0000257,frozen food
JCM_11743,Cryptococcus phenolicus,MEO_0000062,wood
JCM_11744,Cryptococcus saitoi,MEO_0000379,leaf
JCM_11745,Cryptococcus uzbekistanensis,MEO_0000007,soil
JCM_11746,Rhodotorula pinicola,MEO_0000767,twig
JCM_11747,Rhodotorula pinicola,MEO_0000767,twig
JCM_11748,Rhodotorula pinicola,MEO_0000767,twig
JCM_11840,Psychrobacter okhotskensis,MEO_0000694,coast
JCM_11844,Albophoma yamanashiensis,MEO_0000007,soil
JCM_11890,Halalkalicoccus tibetensis,MEO_0000024,lake
JCM_11892,Nocardia asiatica,MEO_0000403,sputum
JCM_11893,Nocardia yamanashiensis,MEO_0000586,skin
JCM_11894,Nocardia niigatensis,MEO_0000586,skin
JCM_11895,Catellatospora ishikariense,MEO_0000007,soil
JCM_11896,Pseudonocardia kongjuensis,MEO_0000655,mine soil
JCM_11897,Sulfurimonas autotrophica,MEO_0000724,deep sea
JCM_11898,Sporobolomyces magnisporus,MEO_0000379,leaf
JCM_11899,Sporobolomyces magnisporus,MEO_0000379,leaf
JCM_11940,Pseudomonas rhodesiae,MEO_0000038,freshwater
JCM_11941,Pseudomonas thivervalensis,MEO_0000055,rhizosphere
JCM_11942,Pseudomonas veronii,MEO_0000036,water
JCM_11943,Arthrobacter albus,MEO_0000059,blood
JCM_11944,Arthrobacter uratoxydans,MEO_0000200,humus
JCM_11944,Corynebacterium uratoxydans,MEO_0000200,humus
JCM_11945,Actinomyces humiferus,MEO_0000007,soil
JCM_11947,Corynebacterium bovis,MEO_0000019,milk for drinking and eating
JCM_11948,Corynebacterium durum,MEO_0000403,sputum
JCM_11949,Corynebacterium falsenii,MEO_0000059,blood
JCM_11999,Hypocrea lutea,MEO_0000700,mountain
JCM_12043,Hypocrea nigricans,MEO_0000700,mountain
JCM_12049,Hypocrea schweinitzii,MEO_0000700,mountain
JCM_12096,Helicobacter nemestrinae,MEO_0000611,mucosa of stomach
JCM_12098,Tepidanaerobacter syntrophicus,MEO_0000119,bioreactor
JCM_12099,Tepidanaerobacter syntrophicus,MEO_0000119,bioreactor
JCM_1210,Bifidobacterium infantis,MEO_0000484,intestine
JCM_1210,Bifidobacterium longum,MEO_0000484,intestine
JCM_1211,Bifidobacterium boum,MEO_0000046,rumen
JCM_1212,Bifidobacterium choerinum,MEO_0000054,feces
JCM_1212,Bifidobacterium choerinum,MEO_0000627,feces
JCM_1213,Bifidobacterium cuniculi,MEO_0000054,feces
JCM_1213,Bifidobacterium cuniculi,MEO_0000627,feces
JCM_1214,Bifidobacterium pullorum subsp. pullorum,MEO_0000054,feces
JCM_1214,Bifidobacterium pullorum subsp. pullorum,MEO_0000627,feces
JCM_12147,Lentibacillus juripiscarius,MEO_0000255,fish sauce
JCM_12148,Lentibacillus juripiscarius,MEO_0000255,fish sauce
JCM_12149,Lentibacillus halophilus,MEO_0000255,fish sauce
JCM_12150,Lentibacillus halophilus,MEO_0000255,fish sauce
JCM_12151,Lentibacillus salicampi,MEO_0000255,fish sauce
JCM_1217,Bifidobacterium longum subsp. longum,MEO_0000484,intestine
JCM_1218,Bifidobacterium magnum,MEO_0000054,feces
JCM_1218,Bifidobacterium magnum,MEO_0000627,feces
JCM_12200,Cryptococcus allantoinivorans,MEO_0000062,wood
JCM_12201,Trichosporon wieringae,MEO_0000126,forest soil
JCM_12202,Trichophyton mentagrophytes,MEO_0000547,face
JCM_12250,Bacteroides intermedius,MEO_0000479,gingiva
JCM_12250,Bacteroides melaninogenicus subsp. intermedius,MEO_0000479,gingiva
JCM_12251,Bacteroides oralis,MEO_0000467,oral cavity
JCM_12251,Prevotella oralis,MEO_0000467,oral cavity
JCM_12252,Bacteroides oris,MEO_0000479,gingiva
JCM_12252,Prevotella oris,MEO_0000479,gingiva
JCM_12253,Natronolimnobius baerhuensis,MEO_0000726,soda lake
JCM_12254,Natronolimnobius baerhuensis,MEO_0000726,soda lake
JCM_12255,Natronolimnobius innermongolicus,MEO_0000726,soda lake
JCM_12257,Bacteroides gingivalis,MEO_0000479,gingiva
JCM_12258,Prevotella albensis,MEO_0000046,rumen
JCM_12300,Bacillus cohnii,MEO_0000007,soil
JCM_12302,Bacillus halmapalus,MEO_0000007,soil
JCM_12303,Bacillus haloalkaliphilus,MEO_0000673,alkaline mud
JCM_12304,Bacillus halodenitrificans,MEO_0000339,solar saltern
JCM_12305,Bacillus halophilus,MEO_0000694,coast
JCM_12306,Bacillus niacini,MEO_0000007,soil
JCM_12307,Bacillus simplex,MEO_0000007,soil
JCM_12308,Pseudovibrio denitrificans,MEO_0000097,national park
JCM_12309,Thauera sp.,MEO_0000118,wastewater treatment plant
JCM_12353,Nocardia sp.,MEO_0000591,forearm
JCM_12354,Nocardia vermiculata,MEO_0000403,sputum
JCM_12355,Gordonia otitidis,MEO_0000344,discharge
JCM_12355,Gordonia otitidis,MEO_0000599,ear
JCM_12356,Nocardia thailandica,MEO_0000401,pus
JCM_12357,Micromonospora aurantionigra,MEO_0000701,peat swamp
JCM_12358,Halorubrum alkaliphilum,MEO_0000726,soda lake
JCM_12400,Bacillus axarquiensis,MEO_0000647,arid soil
JCM_12400,Brevibacterium halotolerans,MEO_0000647,arid soil
JCM_12401,Corynebacterium sundsvallense,MEO_0000423,small artifact
JCM_12401,Corynebacterium sundsvallense,MEO_0000519,uterus
JCM_12402,Mycobacterium bohemicum,MEO_0000403,sputum
JCM_12403,Mycobacterium chitae,MEO_0000007,soil
JCM_12405,Mycobacterium doricum,MEO_0000398,cerebro-spinal fluid
JCM_12405,Mycobacterium doricum,MEO_0000624,cerebrospinal fluid
JCM_12406,Mycobacterium elephantis,MEO_0000506,lung
JCM_12407,Mycobacterium gastri,MEO_0000717,lavage fluid
JCM_12407,Mycobacterium gastri,MEO_0000482,stomach
JCM_12409,Nocardiopsis metallicus,MEO_0000345,industrial waste
JCM_12450,Cephalosporium caerulens,MEO_0000006,air
JCM_12450,Sarocladium attenuatum,MEO_0000006,air
JCM_12451,Ophiostoma quercus,MEO_0000373,bark
JCM_12452,Ophiostoma quercus,MEO_0000373,bark
JCM_12453,Candida pseudohaemulonii,MEO_0000059,blood
JCM_12457,Thioreductor micantisoli,MEO_0000143,thermophilic sediment
JCM_12458,Nitratifractor salsuginis,MEO_0000724,deep sea
JCM_12459,Nitratiruptor tergarcus,MEO_0000724,deep sea
JCM_12504,Cladobotryum sp.,MEO_0000374,basidiocarp
JCM_12504,Hypomyces corticiicola,MEO_0000374,basidiocarp
JCM_12505,Cladobotryum uniseptatum,MEO_0000374,basidiocarp
JCM_12506,Cladobotryum uniseptatum,MEO_0000374,basidiocarp
JCM_12507,Planifilum fimeticola,MEO_0000342,compost
JCM_12508,Planifilum fulgidum,MEO_0000342,compost
JCM_12558,Candida kazuoi,MEO_0000400,frass
JCM_12559,Candida hasegawae,MEO_0000400,frass
JCM_1260,Bifidobacterium infantis,MEO_0000054,feces
JCM_1260,Bifidobacterium longum,MEO_0000054,feces
JCM_1260,Bifidobacterium infantis,MEO_0000627,feces
JCM_1260,Bifidobacterium longum,MEO_0000627,feces
JCM_12606,Streptomyces laceyi,MEO_0000269,hay
JCM_12607,Streptomyces sanglieri,MEO_0000269,hay
JCM_12608,Tsukamurella spumae,MEO_0000365,foam
JCM_12609,Nocardioides kongjuensis,MEO_0000007,soil
JCM_12610,Nesterenkonia jeotgali,MEO_0000271,jeotgal
JCM_1264,Bifidobacterium pseudolongum subsp. pseudolongum,MEO_0000054,feces
JCM_1264,Bifidobacterium pseudolongum subsp. pseudolongum,MEO_0000627,feces
JCM_1266,Bifidobacterium pseudolongum subsp. pseudolongum,MEO_0000054,feces
JCM_1266,Bifidobacterium pseudolongum subsp. pseudolongum,MEO_0000627,feces
JCM_12661,Oceanobacillus oncorhynchi subsp. oncorhynchi,MEO_0000586,skin
JCM_12663,Bacillus oshimensis,MEO_0000007,soil
JCM_12663,Alkalihalobacillus oshimensis,MEO_0000007,soil
JCM_12664,Tetrapisispora namnaoensis,MEO_0000126,forest soil
JCM_12665,Tetrapisispora namnaoensis,MEO_0000097,national park
JCM_12666,Tetrapisispora namnaoensis,MEO_0000091,forest
JCM_12667,Nocardia exalbida,MEO_0000444,alveolus
JCM_12667,Nocardia exalbida,MEO_0000717,lavage fluid
JCM_1267,Bifidobacterium pseudolongum subsp. pseudolongum,MEO_0000054,feces
JCM_1267,Bifidobacterium pseudolongum subsp. pseudolongum,MEO_0000627,feces
JCM_1268,Bifidobacterium thermophilum,MEO_0000046,rumen
JCM_1269,Bifidobacterium longum,MEO_0000054,feces
JCM_1269,Bifidobacterium suis,MEO_0000054,feces
JCM_1269,Bifidobacterium longum,MEO_0000627,feces
JCM_1269,Bifidobacterium suis,MEO_0000627,feces
JCM_12710,Eurotium amstelodami,MEO_0000067,man-made structure
JCM_12711,Aspergillus caespitosus,MEO_0000007,soil
JCM_12714,Aspergillus carneus,MEO_0000718,seafood product
JCM_12715,Aspergillus cervinus,MEO_0000007,soil
JCM_12717,Chaetosartorya cremea,MEO_0000126,forest soil
JCM_12762,Leifsonia aurea,MEO_0000137,microbial mat
JCM_12763,Ornithinimicrobium kibberense,MEO_0000007,soil
JCM_12769,Micromonospora siamensis,MEO_0000701,peat swamp
JCM_12810,Paecilomyces variotii,MEO_0000754,mangrove
JCM_12811,Paecilomyces variotii,MEO_0000709,fruit extract product
JCM_12813,Talaromyces byssochlamydoides,MEO_0000650,dry soil
JCM_12813,Paecilomyces byssochlamydoides,MEO_0000650,dry soil
JCM_12814,Paecilomyces leycettanus,MEO_0000007,soil
JCM_12815,Talaromyces spectabilis,MEO_0000218,bottled fruit product
JCM_1310,Corynebacterium diphtheriae,MEO_0000494,throat
JCM_1311,Rhodococcus equi,MEO_0000506,lung
JCM_1311,Corynebacterium equi,MEO_0000506,lung
JCM_1312,Rhodococcus equi,MEO_0000506,lung
JCM_1312,Corynebacterium equi,MEO_0000506,lung
JCM_1317,Microbacterium flavum,MEO_0000227,cheese product
JCM_1318,Micrococcus glutamicus,MEO_0000012,sewage
JCM_1360,Brevibacterium helvolum,MEO_0000356,oil brine
JCM_1360,Curtobacterium sp.,MEO_0000356,oil brine
JCM_1361,Brevibacterium helvolum,MEO_0000356,oil brine
JCM_1361,Curtobacterium sp.,MEO_0000356,oil brine
JCM_1362,Brevibacterium helvolum,MEO_0000356,oil brine
JCM_1363,Arthrobacter simplex,MEO_0000007,soil
JCM_1363,Corynebacterium simplex,MEO_0000007,soil
JCM_1363,Pimelobacter simplex,MEO_0000007,soil
JCM_1364,Arthrobacter simplex,MEO_0000007,soil
JCM_1364,Pimelobacter jensenii,MEO_0000007,soil
JCM_1365,Arthrobacter tumescens,MEO_0000651,garden soil
JCM_1365,Corynebacterium tumescens,MEO_0000651,garden soil
JCM_1365,Pimelobacter tumescens,MEO_0000651,garden soil
JCM_1366,Brevibacterium lipolyticum,MEO_0000327,petroleum
JCM_1366,Pimelobacter simplex,MEO_0000327,petroleum
JCM_1367,Brevibacterium lipolyticum,MEO_0000327,petroleum
JCM_1367,Pimelobacter simplex,MEO_0000327,petroleum
JCM_1368,Corynebacterium aquaticum,MEO_0000036,water
JCM_1416,Clostridium sporogenes,MEO_0000007,soil
JCM_1467,Corynebacterium flaccumfaciens subsp. aurantiacum,MEO_0000388,seed
JCM_1471,Peptostreptococcus productus,MEO_0000054,feces
JCM_1471,Ruminococcus productus,MEO_0000054,feces
JCM_1471,Peptostreptococcus productus,MEO_0000627,feces
JCM_1471,Ruminococcus productus,MEO_0000627,feces
JCM_1518,Candida glaebosa,MEO_0000257,frozen food
JCM_1519,Candida glaebosa,MEO_0000258,frozen prawn
JCM_1520,Candida glaebosa,MEO_0000257,frozen food
JCM_1521,Candida famata var. famata,MEO_0000053,wound
JCM_1521,Debaryomyces hansenii var. hansenii,MEO_0000053,wound
JCM_1521,Torulopsis famata,MEO_0000053,wound
JCM_1521,Candida famata var. famata,MEO_0000594,hand
JCM_1521,Debaryomyces hansenii var. hansenii,MEO_0000594,hand
JCM_1521,Torulopsis famata,MEO_0000594,hand
JCM_1570,Aspergillus echinulatus,MEO_0000259,fruit
JCM_1570,Eurotium echinulatum,MEO_0000259,fruit
JCM_1572,Aspergillus heterocaryoticus,MEO_0000806,kernel
JCM_1572,Eurotium heterocaryoticum,MEO_0000806,kernel
JCM_1573,Eurotium intermedium,MEO_0000375,cotton yarn
JCM_1573,Aspergillus chevalieri var. intermedius,MEO_0000375,cotton yarn
JCM_1574,Eurotium leucocarpum,MEO_0000298,sausage
JCM_1575,Eurotium herbariorum,MEO_0000062,wood
JCM_1575,Aspergillus manginii,MEO_0000062,wood
JCM_1575,Eurotium minus,MEO_0000062,wood
JCM_1577,Eurotium amstelodami,MEO_0000800,tympanic membrane
JCM_1577,Eurotium montevidense,MEO_0000800,tympanic membrane
JCM_1577,Aspergillus amstelodami,MEO_0000800,tympanic membrane
JCM_1628,Debaryomyces polymorphus var. polymorphus,MEO_0000007,soil
JCM_1628,Debaryomyces cantarellii,MEO_0000007,soil
JCM_1670,Proteus myxofaciens,MEO_0000752,larva
JCM_1673,Providencia alcalifaciens,MEO_0000054,feces
JCM_1673,Providencia alcalifaciens,MEO_0000627,feces
JCM_1720,Aspergillus longivesica,MEO_0000657,rainforest soil
JCM_12816,Thermoascus aurantiacus,MEO_0000751,sawdust
JCM_12818,Thermoascus thermophilus,MEO_0000007,soil
JCM_12819,Corynebacterium resistens,MEO_0000059,blood
JCM_12860,Nocardia miyunensis,MEO_0000126,forest soil
JCM_12861,Nocardia jiangxiensis,MEO_0000658,rhizosphere soil
JCM_12862,Yeosuana aromativorans,MEO_0000684,estuarine sediment
JCM_12864,Kordiimonas gwangyangensis,MEO_0000084,bay
JCM_12865,Zimmermannella alba,MEO_0000063,urine
JCM_12866,Zimmermannella faecalis,MEO_0000054,feces
JCM_12866,Zimmermannella faecalis,MEO_0000627,feces
JCM_12867,Planotetraspora silvatica,MEO_0000126,forest soil
JCM_12868,Micromonospora krabiensis,MEO_0000660,marine soil
JCM_12869,Micromonospora krabiensis,MEO_0000660,marine soil
JCM_12910,Moellerodiscus advenulus,MEO_0000379,leaf
JCM_12911,Lambertella sp.,MEO_0000379,leaf
JCM_12912,Phialina lachnobrachya,MEO_0000379,leaf
JCM_12913,Strossmayeria bakeriana,MEO_0000062,wood
JCM_12914,Nectria mariannaeae,MEO_0000765,stump
JCM_12915,Marasmius maximus,MEO_0000379,leaf
JCM_12916,Calocera cornea,MEO_0000062,wood
JCM_12917,Exobasidium gracile,MEO_0000379,leaf
JCM_12918,Dictyocatenulata alba,MEO_0000112,rock
JCM_12964,Actinomyces israelii,MEO_0000491,brain
JCM_12966,Bacteroides ochraceus,MEO_0000467,oral cavity
JCM_12967,Capnocytophaga sputigena,MEO_0000478,periodontium
JCM_12968,Streptococcus morbillorum,MEO_0000506,lung
JCM_12969,Leptotrichia buccalis,MEO_0000422,excrement and secretion
JCM_12969,Leptotrichia buccalis,MEO_0000489,gingival margin
JCM_13011,Rhodococcoides kroppenstedtii,MEO_0000692,cold desert
JCM_13012,Citricoccus alkalitolerans,MEO_0000196,desert
JCM_13013,Microbacterium halotolerans,MEO_0000659,saline soil
JCM_13015,Mycobacterium parascrofulaceum,MEO_0000585,neck
JCM_13016,Mycobacterium saskatchewanense,MEO_0000403,sputum
JCM_13017,Mycobacterium vanbaalenii,MEO_0000683,contaminated sediment
JCM_13017,Mycolicibacterium vanbaalenii,MEO_0000683,contaminated sediment
JCM_13018,Nesterenkonia halotolerans,MEO_0000653,hypersaline soil
JCM_13019,Nesterenkonia lutea,MEO_0000659,saline soil
JCM_13065,Sphaerosporangium melleum,MEO_0000205,sand
JCM_13066,Sphaerosporangium melleum,MEO_0000205,sand
JCM_13067,Sphaerosporangium rubeum,MEO_0000205,sand
JCM_13068,Sphaerosporangium melleum,MEO_0000205,sand
JCM_13119,Massariosphaeria multiseptata,MEO_0000753,culm
